New	Neu
If you think the application is installed, click 'Edit' to input its location (when ready, have your buddy reinvite you).  To find out more about it or to download and install the application, click on the following URL:	Wenn Sie denken, daß die Anwendung installiert ist, ermitteln Sie deren Speicherort durch Klicken auf "Bearbeiten". (Bitten Sie Ihren Buddy dann, Sie erneut einzuladen). Um mehr darüber zu erfahren oder die Anwendung herunterzuladen und zu installieren, klicken Sie auf folgende URL:
Your buddy wants you to run the following application, but it is not configured to run from AIM:	Ihr Buddy möchte, daß Sie die folgende Anwendung ausführen; sie ist jedoch nicht zum Ablauf unter AIM konfiguriert:
If you would like to configure this application to run from AIM, click on 'Add'. To find out more about it or to download and install the application, click on the following URL:	Wenn Sie die Anwendung zum Ablauf unter AIM konfigurieren möchten, klicken Sie auf "Hinzufügen". Um mehr darüber zu erfahren oder die Anwendung herunterzuladen und zu installieren, klicken Sie auf folgende URL:
Add New External Application	Neue externe Anwendung hinzufügen
Name:	Name:
Executable path:	Pfad der ausführbaren Datei:
Command line parameters:	Befehlszeilenparameter:
Server command line parameters:	Server-Befehlszeilenparameter:
Note: see Help for a full explanation of the command line options. Use %i for buddy's IP address, %m for buddy's machine name, %p for path, %u for own IP address, %n for own screen name	Hinweis: Die Hilfe enthält eine ausführliche Erläuterung aller Befehlszeilenoptionen. Verwenden Sie %i für die IP-Adresse des Buddy, %m für dessen Maschinennamen, %p für den Pfad, %u für Ihre IP-Adresse, %n für Ihren AIM-Namen
Start in (Working Directory):	Beginnen in (Arbeitsverzeichnis):
URL to application's home page:	URL zur Home-Page der Anwendung:
'App Paths' Key in Registry:	'App Paths' -Schlüssel in Registry:
Hint to aid in running program:	Hilfe beim Ausführen des Programms:
Can invite multiple buddies	Kann mehrere Buddies einladen
Launch application before sending invite	Anwendung starten, bevor Einladung abgeht
Hide IMs with 'Playing Game' Away message	Telegramme mit "Spiele gerade"-Abwesenheitsmitteilung verbergen
Games	Spiele
List of Games:	Liste der Spiele:
Info for selected Game:	Infos zu ausgewähltem Spiel:
Add Game	Spiel hinzufügen
Copy to Clipboard	In Zwischenablage kopieren
Use alternate Internet Address (if games fail when running AOL or 2 network adapters)	Alternative Internet-Adresse verwenden (wenn Spiel unter AOL oder mit 2 Netzwerkadaptern mißlingt)
Talk	Gespräch
Don't display start dialog	Startdialog nicht anzeigen
Use alternate Internet Address (if error when running AOL or 2 network adapters)	Alternative Internet-Adresse verwenden (bei Fehler unter AOL oder mit 2 Netzwerkadaptern)
Always Talk in Half Duplex mode, even if sound card reports Full Duplex	Stets in Halbduplex-Modus sprechen, selbst wenn Soundkarte Vollduplex meldet
When others want to Talk to you:	Wenn andere mit Ihnen sprechen wollen:
For users not on my Buddy List:	Benutzer nicht auf meiner Buddy-Liste:
Talk Sounds	Gesprächstöne
Play a sound when starting or receiving Talk command	Beim Starten oder Empfangen eines Gespräch-Befehls einen Ton abspielen
Play a sound when Talk disconnected	Bei Gesprächsunterbrechung einen Ton abspielen
Play a sound when buddy clicks 'Stop Talk' in Half Duplex	Wenn Buddy im Halbduplex-Modus auf 'Gespräch stoppen' klickt, einen Ton abspielen
Start Talk Connection	Gesprächsverbindung starten
You are about to make a direct connection to your buddy's computer so that you can talk with your buddy.  It may take a few moments before the connection is completed.	Sie stellen gerade eine direkte Verbindung zum Computer Ihres Buddys her, damit Sie mit ihm sprechen können. Es kann einen Moment dauern, bis die Verbindung steht.
Receive Talk Connection	Gesprächsverbindung empfangen
Do you know who wants to talk to you?	Wissen Sie, wer mit Ihnen sprechen will?
Warning:  You are about to make a direct connection with your buddy to allow you to talk with him.	Warnung: Sie sind im Begriff, eine direkte Verbindung mit Ihrem Buddy herzustellen, damit dieser mit Ihnen sprechen kann.
Mail	Telegramm
Alert Notification:	Alert-Benachrichtigung:
Play sound	Ton abspielen
Display alert window	Alert-Fenster anzeigen
Keep alert window on top	Keep alert window on top
Display alert tray icon	Warnfach-Symbol anzeigen
E-mail Addresses to check:	Zu prüfende eMail-Adressen:
Add Mail Box	Mailbox hinzufügen
Add New Mail Box	Neue Mailbox hinzufügen
Type:	Typ:
POP3 Server Name:	POP3-Servername:
POP3 Email Program:	POP3-eMail-Programm:
Check for Mail every	Auf Telegramme prüfen alle
minutes	Minuten
Please choose which group to add "%s" into:	In welche Gruppe soll "%s" hinzugefügt werden:
Type in the name of the new group below:	Geben Sie den Namen der neuen Gruppe ein:
Confirmation	Bestätigung
You will not be asked to upgrade again.	Sie werden nicht wieder gefragt, ob Sie ein Upgrade wünschen.
To be notified of upgrades in the future, click cancel.	Um in Zukunft von Upgrades benachrichtigt zu werden, klicken Sie auf "Abbrechen".
Preferences	Voreinstellungen
To receive upgrade notifications, go to your General Preferences.	Um Benachrichtigungen von Upgrades zu erhalten, gehen Sie zu Ihren Allgemeinen Voreinstellungen.
You are running an out-of-date version of AOL Instant Messenger (SM). Although you may continue to use this version, we recommend that you upgrade to the current version to obtain the latest features and bug fixes.	Sie verwenden eine ältere Version von AOL Instant Messenger(SM). Wenngleich Sie weiter mit dieser Version arbeiten können, empfehlen wir, daß Sie auf die neueste Version aufrüsten, um die neusten Funktionsmerkmale und Bugfixes zu erhalten.\\r\\n
You will be upgraded to the following version:	Sie werden auf folgende Version aufrüsten:
Version	Version
Upgrade Now	Jetzt aufrüsten
Upgrade Later	Später aufrüsten
Do Not Upgrade	Nicht aufrüsten
You have selected to upgrade to a new version of AOL Instant Messenger (SM) now.	Sie haben angegeben, daß Sie jetzt auf eine neue Version von AOL Instant Messenger(SM) aufrüsten wollen.
To continue with this AIM session, and not upgrade now, click Cancel.	Um in dieser AIM-Sitzung fortzufahren und jetzt nicht aufzurüsten, klicken Sie auf "Abbrechen".
To continue with this upgrade, and shut down your current AIM session, click OK.	Um mit dem Aufrüsten fortzufahren und die aktuelle AIM-Sitzung zu schließen, klicken Sie auf "OK".
You have selected to upgrade to a new version of AOL Instant Messenger (SM) at a later date.	Sie haben angegeben, daß Sie zu einem späteren Zeitpunkt auf eine neue Version von AOL Instant Messenger(SM) aufrüsten wollen.
You will be reminded again in one week.	Sie werden in einer Woche wieder daran erinnert.
More Info for %s...	Mehr Infos zu %s...
Intraday Chart (Large) for %s...	Intraday-Diagramm (groß) für%s...
Intraday Chart (Small) for %s...	Intraday-Diagramm (klein) für   %s...
Refresh all Quotes	Alle Kursgebote auffrischen
Chart (Large)	Diagramm (groß)
Chart (Small)	Diagramm (klein)
More Info...	Mehr Infos...
Refresh	Auffrischen
http://charts.netscape.com/?t=1s=%s	http://charts.netscape.com/?t=1s=%s
http://quicken.aol.com/investments/quotes/?symbol=%s	http://quicken.aol.com/investments/quotes/?symbol=%s
Year High	Jahreshoch
Year Low	Jahrestief
Intraday Chart (Small) for %s...	Intraday-Diagramm (klein) für %s...
Intraday Chart (Large) for %s...	Intraday-Diagramm (groß) für %s...
Ticker Preferences...	Ticker-Einstellungen...
More Info on %s...	Mehr Infos zu %s...
Text File (*.txt)|*.txt|All Files (*.*)|*.*||	Textdatei (*.txt)|*.txt|Alle Dateien (*.*)|*.*||
% Change	% Ändern
Save Stock Table	Börsentabelle speichern
Unable to open file\r\n%s	Kann Datei \r\n%s nicht öffnen
Unable to load ticker information.  The ticker cannot receive data if your internet connection uses a proxy server.	Kann Ticker-Informationen nicht laden. Der Ticker kann keine Daten empfangen, wenn Ihre Internet-Verbindung einen Proxy-Server verwendet.
Talk	Sprechen
Connect\nto Talk	Für Gespräch\nverbinden
IP Address	IP-Adresse
Module %s is missing. It is required to run AOL Instant Messenger (SM).	Modul %s fehlt. Es wird zum Ausführen von AOL Instant Messenger(SM) benötigt.
Module %s failed due to error %ld.\r\nIt is required to run AOL Instant Messenger (SM).	Modul %s ist aufgrund des Fehlers %ld gescheitert\r\nIt wird zum Ausführen von AOL Instant Messenger(SM) benötigt.
Module %s is invalid. It is required to run AOL Instant Messenger (SM).	Modul %s ist ungültig. Es wird zum Ausführen von AOL Instant Messenger(SM) benötigt.\r\n
Module %s failed to load. It is required to run AOL Instant Messenger (SM).	Modul %s wurde nicht geladen. Es wird zum Ausführen von AOL Instant Messenger(SM) benötigt.\r\n
<CENTER>Loading chart, please wait...</CENTER>	<CENTER>Diagram wird geladen. Bitte warten..</CENTER>
- Could not retrieve stock data	- Konnte Aktiendaten nicht abrufen
You can only start one Talk session at a time, and you already have a Talk session open.	Sie können nur jeweils eine Gesprächssitzung starten, und es ist bereits eine geöffnet.
%s is not available for Talk right now.	%s ist zur Zeit nicht für ein Gespräch verfügbar.
%s is trying to Talk with you, but you can only have one Talk session at a time.	%s versucht, mit Ihnen zu sprechen, es kann jedoch stets nur eine Gesprächssitzung geöffnet sein.
Unable to initialize Talk; perhaps you don't have a sound card or your system audio is already in use.	Kann Gespräch nicht initialisieren; vielleicht haben Sie keine Soundkarte, oder Ihr Systemaudio ist bereits in Verwendung.
Cannot open the file <I>%s</I> because it has no extension	Kann Datei <I>%s</I> nicht öffnen, weil sie keine Erweiterung besitzt.
=-O Surprised   Ctrl+5	=-O Überrascht   Strg+5
:-*  Kissing  Ctrl+6	:-*  Küßt  Strg+6
>:o Yelling  Ctrl+7	>:o Ruft  Strg+7
8-) Cool  Ctrl+8	8-) Cool  Strg+8
:-$ Money-mouth   Ctrl+Shift+1	:-$ Money-mouth   Strg+Umsch+1
:-! Foot-in-mouth   Ctrl+Shift+2	:-! Foot-in-mouth   Strg+Umsch+2
:-[  Embarrassed  Ctrl+Shift+3	:-[  Verlegen Strg+Umsch+3
O:-)  Innocent  Ctrl+Shift+4	O:-)  Unschuldig  Strg+Umsch+4
:-\\  Undecided  Ctrl+Shift+5 :-/	:-\\  Unentschlossen  Strg+Umsch+5 :-/
:'( Crying   Ctrl+Shift+6	:'( Weint   Strg+Umsch+6
:-X Lips-are-sealed   Ctrl+Shift+7	:-X Meine Lippen sind versiegelt   Strg+Umsch+7
:-D Laughing   Ctrl+Shift+8	:-D Lacht   Strg+Umsch+8
Mail Menu	Mail Menu
Send Mail	Send Mail
Mail Preferences...	Mail-Einstellungen...
Send Mail	Mitteilungen verschicken
Mailboxes	Mailboxes
\n\n%s disconnected.\n\nThis window will close in %d seconds\n\n	\n\n%s - Verbindung wird unterbrochen.\n\nDieses Fenster wird in %d Sekunden geschlossen.\n\n
Connecting to %s	Verbinde mit %s
%s is connecting	%s stellt Verbindung her
Talk with %s	Gespräch mit %s
Another application is currently using the sound card; you must close that application to Talk to your buddy.	Eine andere Anwendung verwendet zur Zeit die Soundkarte. Sie müssen diese Anwendung schließen, bevor Sie mit Ihrem Buddy sprechen können.
Push to Talk	Drücken zum sprechen
Push to Listen	Drücken zum zuhören
Mute	Stumm
Disconnect	Unterbrechen
Change Style	Stil ändern
Volume:	Lautstärke:
Half-duplex: click to start talking	Halbduplex: Klicken, um mit Sprechen zu beginnen
Half-duplex: click to stop talking and start listening	Halbduplex: Klicken, um aufzuhören zu sprechen und zuzuhören
Click to pause or resume the communication	Klicken, um zu unterbrechen oder das Gespräch fortzusetzen
Click to end the Talk connection and close the window	Klicken, um die Gesprächsverbindung zu beenden und das Fenster zu schließen
Click to stop talking; you can still listen	Klicken, um aufzuhören zu sprechen; Sie können weiterhin zuhören
Click to change the style of the voice meters	Klicken, um den Stil der Stimmmesser zu ändern
Insert Smilie	Smilie einfügen
Talk failed due to rate limiting; try again in another minute	Gespräch aufgrund überschrittener Warnstufe gescheitert; versuchen Sie es später wieder.
Your buddy's AIM software is old and cannot talk with you; make sure you are both running the latest software.	Die AIM-Software Ihres Buddy ist veraltet und unterstützt keine Gespräche. Stellen Sie sicher, daß Sie beide die neueste Version der Software verwenden.
Volume is above %d	Volumen liegt über %d
The volume, %d, is above %d.	Das Volumen %d liegt über %d.
Price is below previous close by %.3f	Preis liegt um %.3f unter dem vorherigen Schlußkurs.
